Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2021Q1,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,3712,,3035,,41.24444444444445,,33.72222222222222,,81.76185344827586,
2021Q1,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,3957,,3280,,43.96666666666667,,36.44444444444444,,82.89107910032853,
2021Q2,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4384,,3487,,48.175824175824175,,38.31868131868132,,79.53923357664235,
2021Q2,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4400,,3503,,48.35164835164835,,38.494505494505496,,79.61363636363636,
2021Q3,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,2890,,2436,,31.41304347826087,,26.47826086956522,,84.29065743944636,
2021Q3,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,2905,,2451,,31.57608695652174,,26.64130434782609,,84.37177280550775,
2021Q4,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4334,,4062,,47.108695652173914,,44.15217391304348,,93.72404245500692,
2021Q4,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4415,,4143,,47.98913043478261,,45.03260869565217,,93.83918459796148,
2022Q1,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,3763,,3423,,41.81111111111111,,38.03333333333333,,90.96465585968642,
2022Q1,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,3864,,3524,,42.93333333333333,,39.15555555555556,,91.20082815734992,
2022Q2,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4728,,4523,,51.95604395604395,,49.7032967032967,,95.66412859560069,
2022Q2,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4808,,4603,,52.83516483516483,,50.582417582417584,,95.73627287853576,
2022Q3,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4417,,4216,,48.01086956521739,,45.82608695652174,,95.4494000452796,
2022Q3,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4586,,4385,,49.84782608695652,,47.66304347826087,,95.61709550806803,
2022Q4,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4044,,3852,,43.95652173913044,,41.869565217391305,,95.25222551928782,
2022Q4,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4129,,3937,,44.880434782608695,,42.79347826086956,,95.34996367159115,
2023Q1,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4151,,3829,,46.12222222222222,,42.54444444444445,,92.24283305227657,
2023Q1,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4194,,3872,,46.6,,43.022222222222226,,92.32236528373868,
2023Q2,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,3665,,3219,,40.27472527472528,,35.37362637362637,,87.83083219645292,
2023Q2,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,3715,,3269,,40.824175824175825,,35.92307692307692,,87.99461641991924,
2023Q3,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4064,,3281,,44.17391304347826,,35.66304347826087,,80.73326771653542,
2023Q3,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4102,,3319,,44.58695652173913,,36.07608695652174,,80.91175036567529,
2023Q4,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,3904,,3649,,42.43478260869565,,39.66304347826087,,93.46823770491804,
2023Q4,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,3963,,3708,,43.07608695652174,,40.30434782608695,,93.56548069644208,
2024Q1,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,3189,,3050,,35.043956043956044,,33.51648351648352,,95.64126685481342,
2024Q1,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,3217,,3078,,35.35164835164835,,33.824175824175825,,95.6792042275412,
2024Q2,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4060,,3511,,44.61538461538461,,38.582417582417584,,86.47783251231527,
2024Q2,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4125,,3576,,45.32967032967033,,39.2967032967033,,86.6909090909091,
2024Q3,,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4426,,3611,,48.108695652173914,,39.25,,81.5860822413014,
2024Q3,,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4483,,3668,,48.72826086956522,,39.869565217391305,,81.82020968101718,
2024Q4,p,S08000019,,V217H,,C8,,Trauma and Orthopaedic Surgery,,4087,,3003,,44.42391304347826,,32.641304347826086,,73.47687790555419,
2024Q4,p,S08000019,,S08000019,d,C8,,Trauma and Orthopaedic Surgery,,4262,,3178,,46.32608695652174,,34.54347826086956,,74.56593148756451,
2019Q4,,S08000019,,V217H,,CB,,Urology,,1741,,789,,18.92391304347826,,8.576086956521738,,45.318782309017806,
2019Q4,,S08000019,,S08000019,d,CB,,Urology,,1743,,791,,18.945652173913043,,8.597826086956522,,45.38152610441767,
2020Q1,,S08000019,,V217H,,CB,,Urology,,1695,,598,,18.626373626373628,,6.571428571428571,,35.28023598820059,
2020Q1,,S08000019,,S08000019,d,CB,,Urology,,1695,,598,,18.626373626373628,,6.571428571428571,,35.28023598820059,
2020Q2,,S08000019,,V217H,,CB,,Urology,,1636,,358,,17.978021978021978,,3.934065934065934,,21.882640586797063,
2020Q2,,S08000019,,S08000019,d,CB,,Urology,,1637,,359,,17.98901098901099,,3.9450549450549457,,21.930360415394016,
2020Q3,,S08000019,,V217H,,CB,,Urology,,589,,443,,6.4021739130434785,,4.815217391304348,,75.21222410865875,
2020Q3,,S08000019,,S08000019,d,CB,,Urology,,664,,518,,7.217391304347826,,5.630434782608695,,78.01204819277108,
2020Q4,,S08000019,,V217H,,CB,,Urology,,801,,780,,8.706521739130435,,8.478260869565217,,97.37827715355805,
2020Q4,,S08000019,,S08000019,d,CB,,Urology,,801,,780,,8.706521739130435,,8.478260869565217,,97.37827715355805,
2021Q1,,S08000019,,V217H,,CB,,Urology,,783,,757,,8.7,,8.411111111111111,,96.67943805874842,
2021Q1,,S08000019,,S08000019,d,CB,,Urology,,798,,772,,8.866666666666667,,8.577777777777778,,96.74185463659148,
2021Q2,,S08000019,,V217H,,CB,,Urology,,732,,663,,8.043956043956044,,7.285714285714286,,90.57377049180327,
2021Q2,,S08000019,,S08000019,d,CB,,Urology,,732,,663,,8.043956043956044,,7.285714285714286,,90.57377049180327,
2021Q3,,S08000019,,V217H,,CB,,Urology,,657,,596,,7.141304347826087,,6.478260869565218,,90.71537290715374,
2021Q3,,S08000019,,S08000019,d,CB,,Urology,,657,,596,,7.141304347826087,,6.478260869565218,,90.71537290715374,
2021Q4,,S08000019,,V217H,,CB,,Urology,,764,,722,,8.304347826086957,,7.8478260869565215,,94.50261780104712,
2021Q4,,S08000019,,S08000019,d,CB,,Urology,,770,,728,,8.369565217391305,,7.913043478260869,,94.54545454545452,
2022Q1,,S08000019,,V217H,,CB,,Urology,,897,,835,,9.966666666666669,,9.27777777777778,,93.08807134894091,
2022Q1,,S08000019,,S08000019,d,CB,,Urology,,899,,837,,9.988888888888887,,9.3,,93.10344827586208,
2022Q2,,S08000019,,V217H,,CB,,Urology,,1150,,638,,12.637362637362637,,7.010989010989011,,55.47826086956522,
2022Q2,,S08000019,,S08000019,d,CB,,Urology,,1150,,638,,12.637362637362637,,7.010989010989011,,55.47826086956522,
2022Q3,,S08000019,,V217H,,CB,,Urology,,1225,,724,,13.315217391304348,,7.869565217391305,,59.10204081632653,
2022Q3,,S08000019,,S08000019,d,CB,,Urology,,1225,,724,,13.315217391304348,,7.869565217391305,,59.10204081632653,
2022Q4,,S08000019,,V217H,,CB,,Urology,,1258,,748,,13.673913043478262,,8.130434782608695,,59.45945945945945,
2022Q4,,S08000019,,S08000019,d,CB,,Urology,,1285,,775,,13.967391304347826,,8.423913043478262,,60.31128404669261,
2023Q1,,S08000019,,V217H,,CB,,Urology,,1146,,645,,12.733333333333333,,7.166666666666667,,56.28272251308901,
2023Q1,,S08000019,,S08000019,d,CB,,Urology,,1146,,645,,12.733333333333333,,7.166666666666667,,56.28272251308901,
2023Q2,,S08000019,,V217H,,CB,,Urology,,1129,,616,,12.406593406593409,,6.769230769230769,,54.56155890168291,
2023Q2,,S08000019,,S08000019,d,CB,,Urology,,1129,,616,,12.406593406593409,,6.769230769230769,,54.56155890168291,
2023Q3,,S08000019,,V217H,,CB,,Urology,,1387,,865,,15.076086956521738,,9.402173913043478,,62.36481614996395,
2023Q3,,S08000019,,S08000019,d,CB,,Urology,,1388,,866,,15.08695652173913,,9.41304347826087,,62.39193083573487,
2023Q4,,S08000019,,V217H,,CB,,Urology,,1297,,791,,14.097826086956522,,8.597826086956522,,60.98689282960679,
2023Q4,,S08000019,,S08000019,d,CB,,Urology,,1314,,808,,14.282608695652174,,8.782608695652174,,61.49162861491628,
2024Q1,,S08000019,,V217H,,CB,,Urology,,1407,,923,,15.461538461538462,,10.142857142857142,,65.6005685856432,
2024Q1,,S08000019,,S08000019,d,CB,,Urology,,1407,,923,,15.461538461538462,,10.142857142857142,,65.6005685856432,
2024Q2,,S08000019,,V217H,,CB,,Urology,,1032,,568,,11.34065934065934,,6.241758241758242,,55.03875968992248,
2024Q2,,S08000019,,S08000019,d,CB,,Urology,,1032,,568,,11.34065934065934,,6.241758241758242,,55.03875968992248,
2024Q3,,S08000019,,V217H,,CB,,Urology,,1245,,765,,13.532608695652174,,8.315217391304348,,61.44578313253012,
2024Q3,,S08000019,,S08000019,d,CB,,Urology,,1259,,779,,13.684782608695652,,8.467391304347826,,61.87450357426529,
2024Q4,p,S08000019,,V217H,,CB,,Urology,,1643,,1125,,17.858695652173914,,12.228260869565217,,68.47230675593427,
2024Q4,p,S08000019,,S08000019,d,CB,,Urology,,1649,,1131,,17.92391304347826,,12.293478260869565,,68.5870224378411,
2019Q4,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4851,,2073,,52.72826086956522,,22.532608695652176,,42.733457019171304,
2019Q4,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4851,,2073,,52.72826086956522,,22.532608695652176,,42.733457019171304,
2020Q1,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4843,,2282,,53.21978021978022,,25.076923076923077,,47.119553995457366,
2020Q1,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4843,,2282,,53.21978021978022,,25.076923076923077,,47.119553995457366,
2020Q2,,S08000019,,V217H,,,,Women and Newborn Grouping,d,5091,,1771,,55.94505494505494,,19.46153846153846,,34.78687880573561,
2020Q2,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,5091,,1771,,55.94505494505494,,19.46153846153846,,34.78687880573561,
2020Q3,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4861,,2160,,52.83695652173913,,23.47826086956522,,44.43530137831722,
2020Q3,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4861,,2160,,52.83695652173913,,23.47826086956522,,44.43530137831722,
2020Q4,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4806,,2069,,52.23913043478261,,22.48913043478261,,43.050353724511034,
2020Q4,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4806,,2069,,52.23913043478261,,22.48913043478261,,43.050353724511034,
2021Q1,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4656,,2169,,51.733333333333334,,24.1,,46.58505154639175,
2021Q1,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4656,,2169,,51.733333333333334,,24.1,,46.58505154639175,
2021Q2,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4746,,2161,,52.15384615384615,,23.747252747252748,,45.5330804888327,
2021Q2,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4746,,2161,,52.15384615384615,,23.747252747252748,,45.5330804888327,
2021Q3,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4730,,2439,,51.41304347826087,,26.51086956521739,,51.56448202959831,
2021Q3,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4730,,2439,,51.41304347826087,,26.51086956521739,,51.56448202959831,
2021Q4,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4342,,2435,,47.19565217391305,,26.467391304347824,,56.08014739751266,
2021Q4,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4342,,2435,,47.19565217391305,,26.467391304347824,,56.08014739751266,
2022Q1,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4421,,2189,,49.12222222222222,,24.322222222222223,,49.51368468672246,
2022Q1,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4421,,2189,,49.12222222222222,,24.322222222222223,,49.51368468672246,
2022Q2,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4256,,2179,,46.76923076923077,,23.945054945054945,,51.1983082706767,
2022Q2,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4256,,2179,,46.76923076923077,,23.945054945054945,,51.1983082706767,
2022Q3,,S08000019,,V217H,,,,Women and Newborn Grouping,d,3976,,2164,,43.21739130434783,,23.52173913043478,,54.42655935613681,
2022Q3,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,3976,,2164,,43.21739130434783,,23.52173913043478,,54.42655935613681,
2022Q4,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4104,,2382,,44.608695652173914,,25.89130434782609,,58.040935672514614,
2022Q4,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4104,,2382,,44.608695652173914,,25.89130434782609,,58.040935672514614,
2023Q1,,S08000019,,V217H,,,,Women and Newborn Grouping,d,3918,,2213,,43.53333333333333,,24.58888888888889,,56.48289943848903,
2023Q1,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,3951,,2246,,43.9,,24.955555555555556,,56.84636800809921,
2023Q2,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4102,,2189,,45.07692307692308,,24.054945054945055,,53.36421257922965,
2023Q2,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4102,,2189,,45.07692307692308,,24.054945054945055,,53.36421257922965,
2023Q3,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4478,,2264,,48.67391304347826,,24.60869565217391,,50.55828494863779,
2023Q3,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4478,,2264,,48.67391304347826,,24.60869565217391,,50.55828494863779,
2023Q4,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4124,,2235,,44.82608695652174,,24.293478260869566,,54.19495635305529,
2023Q4,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4124,,2235,,44.82608695652174,,24.293478260869566,,54.19495635305529,
2024Q1,,S08000019,,V217H,,,,Women and Newborn Grouping,d,3852,,2178,,42.32967032967033,,23.934065934065934,,56.54205607476636,
2024Q1,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,3852,,2178,,42.32967032967033,,23.934065934065934,,56.54205607476636,
2024Q2,,S08000019,,V217H,,,,Women and Newborn Grouping,d,3919,,2156,,43.065934065934066,,23.692307692307693,,55.014034192396025,
2024Q2,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,3919,,2156,,43.065934065934066,,23.692307692307693,,55.014034192396025,
2024Q3,,S08000019,,V217H,,,,Women and Newborn Grouping,d,4063,,2257,,44.16304347826087,,24.532608695652176,,55.55008614324392,
2024Q3,,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4063,,2257,,44.16304347826087,,24.532608695652176,,55.55008614324392,
2024Q4,p,S08000019,,V217H,,,,Women and Newborn Grouping,d,4345,,2151,,47.22826086956522,,23.380434782608695,,49.50517836593786,
2024Q4,p,S08000019,,S08000019,d,,,Women and Newborn Grouping,d,4345,,2151,,47.22826086956522,,23.380434782608695,,49.50517836593786,
2019Q4,,S08000020,,N101H,,C2,,Accident & Emergency,,710,,275,,7.717391304347826,,2.989130434782609,,38.732394366197184,
2019Q4,,S08000020,,N411H,,C2,,Accident & Emergency,,533,,89,,5.793478260869565,,0.967391304347826,,16.69793621013133,
2019Q4,,S08000020,,S08000020,d,C2,,Accident & Emergency,,1495,,395,,16.25,,4.293478260869565,,26.421404682274247,
2020Q1,,S08000020,,N101H,,C2,,Accident & Emergency,,855,,280,,9.395604395604396,,3.076923076923077,,32.748538011695906,
2020Q1,,S08000020,,N411H,,C2,,Accident & Emergency,,595,,81,,6.538461538461538,,0.8901098901098901,,13.61344537815126,
2020Q1,,S08000020,,S08000020,d,C2,,Accident & Emergency,,1708,,389,,18.76923076923077,,4.274725274725275,,22.7751756440281,
2020Q2,,S08000020,,N101H,,C2,,Accident & Emergency,,713,,44,,7.835164835164835,,0.4835164835164835,,6.171107994389902,
2020Q2,,S08000020,,N411H,,C2,,Accident & Emergency,,839,,19,,9.21978021978022,,0.2087912087912088,,2.2646007151370684,
2020Q2,,S08000020,,S08000020,d,C2,,Accident & Emergency,,1825,,63,,20.054945054945055,,0.6923076923076923,,3.4520547945205484,
2020Q3,,S08000020,,N101H,,C2,,Accident & Emergency,,121,,0,,1.315217391304348,,0,,0,
2020Q3,,S08000020,,N411H,,C2,,Accident & Emergency,,539,,147,,5.858695652173913,,1.5978260869565215,,27.27272727272727,
2020Q3,,S08000020,,S08000020,d,C2,,Accident & Emergency,,848,,147,,9.217391304347826,,1.5978260869565215,,17.33490566037736,
2020Q4,,S08000020,,N101H,,C2,,Accident & Emergency,,520,,0,,5.6521739130434785,,0,,0,
2020Q4,,S08000020,,N411H,,C2,,Accident & Emergency,,426,,179,,4.630434782608695,,1.9456521739130437,,42.01877934272301,
2020Q4,,S08000020,,S08000020,d,C2,,Accident & Emergency,,1088,,180,,11.826086956521738,,1.9565217391304348,,16.544117647058826,
2021Q1,,S08000020,,N101H,,C2,,Accident & Emergency,,900,,0,,10,,0,,0,
2021Q1,,S08000020,,N411H,,C2,,Accident & Emergency,,262,,153,,2.911111111111111,,1.7,,58.396946564885496,
2021Q1,,S08000020,,S08000020,d,C2,,Accident & Emergency,,1413,,154,,15.7,,1.711111111111111,,10.898796886058031,
2021Q2,,S08000020,,N101H,,C2,,Accident & Emergency,,2,,2,,0.02197802197802198,,0.02197802197802198,,100,
2021Q2,,S08000020,,N411H,,C2,,Accident & Emergency,,286,,185,,3.142857142857143,,2.032967032967033,,64.6853146853147,
2021Q2,,S08000020,,S08000020,d,C2,,Accident & Emergency,,485,,188,,5.329670329670329,,2.065934065934066,,38.76288659793815,
2021Q3,,S08000020,,N101H,,C2,,Accident & Emergency,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2021Q3,,S08000020,,N411H,,C2,,Accident & Emergency,,342,,188,,3.717391304347826,,2.0434782608695654,,54.970760233918135,
2021Q3,,S08000020,,S08000020,d,C2,,Accident & Emergency,,531,,189,,5.771739130434782,,2.0543478260869565,,35.59322033898306,
2021Q4,,S08000020,,N411H,,C2,,Accident & Emergency,,433,,195,,4.706521739130435,,2.119565217391304,,45.03464203233256,
2021Q4,,S08000020,,S08000020,d,C2,,Accident & Emergency,,433,,195,,4.706521739130435,,2.119565217391304,,45.03464203233256,
2022Q1,,S08000020,,N411H,,C2,,Accident & Emergency,,371,,123,,4.122222222222222,,1.3666666666666667,,33.153638814016176,
2022Q1,,S08000020,,S08000020,d,C2,,Accident & Emergency,,371,,123,,4.122222222222222,,1.3666666666666667,,33.153638814016176,
2022Q2,,S08000020,,N101H,,C2,,Accident & Emergency,,18,,18,,0.1978021978021978,,0.1978021978021978,,100,
2022Q2,,S08000020,,N411H,,C2,,Accident & Emergency,,492,,355,,5.406593406593407,,3.901098901098901,,72.15447154471543,
2022Q2,,S08000020,,S08000020,d,C2,,Accident & Emergency,,510,,373,,5.604395604395604,,4.0989010989010985,,73.13725490196077,
2022Q3,,S08000020,,N411H,,C2,,Accident & Emergency,,387,,374,,4.206521739130435,,4.065217391304348,,96.640826873385,
2022Q3,,S08000020,,S08000020,d,C2,,Accident & Emergency,,387,,374,,4.206521739130435,,4.065217391304348,,96.640826873385,
2022Q4,,S08000020,,N411H,,C2,,Accident & Emergency,,339,,220,,3.684782608695652,,2.391304347826087,,64.89675516224189,
2022Q4,,S08000020,,S08000020,d,C2,,Accident & Emergency,,339,,220,,3.684782608695652,,2.391304347826087,,64.89675516224189,
2023Q1,,S08000020,,N101H,,C2,,Accident & Emergency,,1,,1,,0.01111111111111111,,0.01111111111111111,,100,
2023Q1,,S08000020,,N411H,,C2,,Accident & Emergency,,306,,54,,3.4,,0.6,,17.647058823529413,
2023Q1,,S08000020,,S08000020,d,C2,,Accident & Emergency,,307,,55,,3.411111111111111,,0.6111111111111112,,17.915309446254074,
2023Q2,,S08000020,,N101H,,C2,,Accident & Emergency,,1,,1,,0.01098901098901099,,0.01098901098901099,,100,
2023Q2,,S08000020,,N411H,,C2,,Accident & Emergency,,420,,170,,4.615384615384615,,1.868131868131868,,40.47619047619048,
2023Q2,,S08000020,,S08000020,d,C2,,Accident & Emergency,,421,,171,,4.626373626373627,,1.879120879120879,,40.61757719714964,
2023Q3,,S08000020,,N101H,,C2,,Accident & Emergency,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2023Q3,,S08000020,,N411H,,C2,,Accident & Emergency,,214,,100,,2.3260869565217392,,1.0869565217391304,,46.72897196261682,
2023Q3,,S08000020,,S08000020,d,C2,,Accident & Emergency,,217,,103,,2.358695652173913,,1.1195652173913044,,47.46543778801844,
2023Q4,,S08000020,,N411H,,C2,,Accident & Emergency,,120,,72,,1.3043478260869563,,0.782608695652174,,60,
2023Q4,,S08000020,,S08000020,d,C2,,Accident & Emergency,,126,,78,,1.3695652173913044,,0.8478260869565217,,61.9047619047619,
2024Q1,,S08000020,,N101H,,C2,,Accident & Emergency,,2,,2,,0.02197802197802198,,0.02197802197802198,,100,
2024Q1,,S08000020,,N411H,,C2,,Accident & Emergency,,204,,177,,2.241758241758242,,1.945054945054945,,86.76470588235294,
2024Q1,,S08000020,,S08000020,d,C2,,Accident & Emergency,,206,,179,,2.2637362637362637,,1.967032967032967,,86.89320388349515,
2024Q2,,S08000020,,N411H,,C2,,Accident & Emergency,,86,,86,,0.945054945054945,,0.945054945054945,,100,
2024Q2,,S08000020,,S08000020,d,C2,,Accident & Emergency,,107,,107,,1.175824175824176,,1.175824175824176,,100,
2024Q3,,S08000020,,N101H,,C2,,Accident & Emergency,,2,,2,,0.0217391304347826,,0.0217391304347826,,100,
2024Q3,,S08000020,,N411H,,C2,,Accident & Emergency,,137,,126,,1.4891304347826086,,1.3695652173913044,,91.970802919708035,
2024Q3,,S08000020,,S08000020,d,C2,,Accident & Emergency,,140,,129,,1.5217391304347827,,1.4021739130434785,,92.14285714285714,
2024Q4,p,S08000020,,N101H,,C2,,Accident & Emergency,,1,,1,,0.0108695652173913,,0.0108695652173913,,100,
2024Q4,p,S08000020,,N411H,,C2,,Accident & Emergency,,41,,41,,0.44565217391304346,,0.44565217391304346,,100,
2024Q4,p,S08000020,,S08000020,d,C2,,Accident & Emergency,,42,,42,,0.4565217391304347,,0.4565217391304347,,100,
2019Q4,,S08000020,,N101H,,,,All Acute,d,65772,,57124,,714.9130434782609,,620.9130434782609,,86.851547771088,
2019Q4,,S08000020,,N411H,,,,All Acute,d,10606,,9154,,115.28260869565216,,99.5,,86.30963605506318,
2019Q4,,S08000020,,T312H,,,,All Acute,d,92,,92,,1,,1,,100,
2019Q4,,S08000020,,S08000020,d,,,All Acute,d,99525,,83770,,1081.7934782608695,,910.5434782608696,,84.169806581261,
2020Q1,,S08000020,,N101H,,,,All Acute,d,67083,,54950,,737.1758241758242,,603.8461538461538,,81.91345050161739,
2020Q1,,S08000020,,N411H,,,,All Acute,d,10671,,8923,,117.26373626373626,,98.05494505494504,,83.61915471839565,
2020Q1,,S08000020,,T312H,,,,All Acute,d,91,,91,,1,,1,,100,
2020Q1,,S08000020,,S08000020,d,,,All Acute,d,101339,,81378,,1113.6153846153843,,894.2637362637363,,80.302746228007,
2020Q2,,S08000020,,N101H,,,,All Acute,d,56004,,37468,,615.4285714285714,,411.7362637362637,,66.90236411684879,
2020Q2,,S08000020,,N411H,,,,All Acute,d,9876,,5336,,108.52747252747253,,58.637362637362635,,54.029971648440664,
2020Q2,,S08000020,,S08000020,d,,,All Acute,d,84502,,56045,,928.5934065934066,,615.8791208791209,,66.32387399114815,
2020Q3,,S08000020,,N101H,,,,All Acute,d,55508,,44223,,603.3478260869565,,480.6847826086956,,79.66959717518195,
2020Q3,,S08000020,,N411H,,,,All Acute,d,8555,,6572,,92.9891304347826,,71.43478260869566,,76.82057276446524,
2020Q3,,S08000020,,S08000020,d,,,All Acute,d,82756,,65561,,899.5217391304348,,712.6195652173913,,79.22205036492822,
2020Q4,,S08000020,,N101H,,,,All Acute,d,56804,,47660,,617.4347826086956,,518.0434782608696,,83.90254207450181,
2020Q4,,S08000020,,N411H,,,,All Acute,d,8949,,6850,,97.27173913043478,,74.45652173913044,,76.54486534808359,
2020Q4,,S08000020,,S08000020,d,,,All Acute,d,83305,,67419,,905.4891304347826,,732.8152173913044,,80.93031630754457,
2021Q1,,S08000020,,N101H,,,,All Acute,d,60840,,52237,,676,,580.4111111111112,,85.8596318211703,
2021Q1,,S08000020,,N411H,,,,All Acute,d,8728,,7100,,96.97777777777776,,78.88888888888889,,81.3473877176902,
2021Q1,,S08000020,,S08000020,d,,,All Acute,d,87462,,72246,,971.8,,802.7333333333333,,82.60273032859985,
2021Q2,,S08000020,,N101H,,,,All Acute,d,59179,,51553,,650.3186813186813,,566.5164835164835,,87.11367207962284,
2021Q2,,S08000020,,N411H,,,,All Acute,d,8318,,7138,,91.4065934065934,,78.43956043956044,,85.81389757153161,
2021Q2,,S08000020,,T312H,,,,All Acute,d,25,,25,,0.27472527472527475,,0.27472527472527475,,100,
2021Q2,,S08000020,,S08000020,d,,,All Acute,d,85189,,72726,,936.1428571428572,,799.1868131868132,,85.37017690077357,
2021Q3,,S08000020,,N101H,,,,All Acute,d,61249,,53277,,665.75,,579.0978260869565,,86.98427729432316,
2021Q3,,S08000020,,N411H,,,,All Acute,d,7858,,7273,,85.41304347826087,,79.05434782608695,,92.555357597353,
2021Q3,,S08000020,,S08000020,d,,,All Acute,d,87180,,75481,,947.608695652174,,820.445652173913,,86.58063776095435,
2021Q4,,S08000020,,N101H,,,,All Acute,d,63052,,55621,,685.3478260869565,,604.5760869565217,,88.21448962760896,
2021Q4,,S08000020,,N411H,,,,All Acute,d,8076,,7180,,87.78260869565217,,78.04347826086956,,88.90539871223378,
2021Q4,,S08000020,,S08000020,d,,,All Acute,d,90156,,78426,,979.9565217391304,,852.4565217391304,,86.98921868760814,
2022Q1,,S08000020,,N101H,,,,All Acute,d,62707,,55272,,696.7444444444444,,614.1333333333333,,88.14326949144434,
2022Q1,,S08000020,,N411H,,,,All Acute,d,7835,,7025,,87.05555555555556,,78.05555555555556,,89.66177409061902,
2022Q1,,S08000020,,S08000020,d,,,All Acute,d,88962,,78276,,988.4666666666668,,869.7333333333333,,87.98812976326971,
2022Q2,,S08000020,,N101H,,,,All Acute,d,62233,,55638,,683.8791208791209,,611.4065934065934,,89.40272845596387,
2022Q2,,S08000020,,N411H,,,,All Acute,d,7936,,7249,,87.20879120879121,,79.65934065934066,,91.34324596774192,
2022Q2,,S08000020,,S08000020,d,,,All Acute,d,89933,,79546,,988.2747252747253,,874.1318681318681,,88.45029077201917,
